timesteps,games_completed,time_elapsed,fps
160000,77,495.46,322.93
320000,160,897.60,356.51
480000,247,1273.25,376.99
640000,336,1665.87,384.18
800000,433,2349.32,340.52
960000,535,2880.24,333.31
1120000,625,3272.93,342.20
1280000,728,3666.90,349.07
1440000,824,4380.88,328.70
1600000,928,4787.74,334.19
1760000,1029,5253.34,335.02
1920000,1135,5671.96,338.51
2080000,1246,6419.77,324.00
2240000,1367,6867.50,326.17
2400000,1489,7323.08,327.73
2560000,1613,7846.12,326.28
2720000,1757,8329.33,326.56
2880000,1895,9181.64,313.67
3040000,2023,9649.49,315.04
3200000,2180,10157.50,315.04
3360000,2341,10724.19,313.31
3520000,2506,11730.22,300.08
3680000,2672,12272.06,299.87
3840000,2837,12836.21,299.15
4000000,3015,13379.01,298.98
4160000,3199,14429.22,288.30
4320000,3386,15038.51,287.26
4480000,3563,15614.34,286.92
4640000,3753,16185.85,286.67
4800000,3949,17249.97,278.26
4960000,4143,17903.20,277.05
5120000,4336,18508.56,276.63
5280000,4536,19113.31,276.25
5440000,4734,19745.56,275.50
5600000,4927,20798.54,269.25
5760000,5119,21436.49,268.70
5920000,5315,22040.76,268.59
6080000,5509,22633.39,268.63
6240000,5703,23684.41,263.46
6400000,5896,24293.92,263.44
6560000,6099,25015.54,262.24
6720000,6303,25652.18,261.97
6880000,6503,26732.05,257.37
7040000,6699,27350.18,257.40
7200000,6900,27961.91,257.49
7360000,7094,28610.40,257.25
7520000,7296,29706.07,253.15
7680000,7505,30328.31,253.23
7840000,7713,30983.09,253.04
8000000,7928,31628.36,252.94
